,CPE1,CPE2,CPE3,CPE4,CPE5,CPE6,CPE7,S1_LVL,S2_LVL,S3_LVL,S4_LVL,CPER2,CPEUN
86,0.0,0.0,0.0,0.0,9.8005,0.0,0.0,5.136363636,0.0,0.0,0.0,179.0,228.0
87,0.0,0.0,0.0,0.0,9.709649122,0.0,0.0,6.807692308,0.0,0.0,0.0,179.0,226.0
88,0.0,0.0,0.0,0.0,9.728318421,0.0,0.0,6.916666667,0.0,0.0,0.0,3.0,227.0
89,0.0,0.0,0.0,0.0,9.762716667,0.0,0.0,5.8,0.0,0.0,0.0,200.0,225.0
90,0.0,0.0,0.0,0.0,9.68615,0.0,0.0,3.909090909,0.0,0.0,0.0,201.0,227.0
91,0.0,0.0,0.0,0.0,9.730444444,0.0,0.0,2.625,0.0,0.0,0.0,177.0,226.0
92,0.0,0.0,0.0,0.0,9.676239767,0.0,0.0,2.409090909,0.0,0.0,0.0,80.0,224.0
93,0.0,0.0,0.0,0.0,9.770436841999999,0.0,0.0,2.555555556,0.0,0.0,0.0,66.0,227.0
94,0.0,0.0,0.0,0.0,9.739947369,0.0,0.0,2.583333333,0.0,0.0,0.0,46.0,223.0
95,0.0,0.0,0.0,0.0,7.261744019,0.0,0.0,2.464285714,0.0,0.0,0.0,30.0,2.0
96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.181818182,0.0,0.0,0.0,23.0,10.0
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.045454545,1.826086957,0.590909091,0.0,21.0,10.0
98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.807692308,1.833333333,2.333333333,0.0,16.0,15.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.208333333,1.0,0.56,0.0,14.0,20.0
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.15,0.0,0.0,0.0,15.0,13.0
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.869565217,0.0,0.0,0.0,1.0,8.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,39.0,0.0
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.636363636,0.0,0.0,0.0,74.0,1.0
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.115384615,0.0,0.0,0.0,102.0,0.0
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.85,113.0,0.0
106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,1.19047619,109.0,0.0
107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85,0.0,0.0,0.047619048,94.0,28.0
108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.333333333,0.285714286,0.0,0.0,97.0,30.0
109,0.886210526,0.0,0.0,0.546280953,9.805083333999999,0.0,0.0,20.5,8.142857143,0.0,0.4,96.0,29.0
110,0.19952381,0.0,0.0,0.0,9.661100000000001,0.50747619,0.0,14.39130435,6.47826087,0.0,0.0,159.0,27.0
111,0.0,0.0,0.0,0.0,9.660013158,0.0,0.0,8.703703704,8.461538462,0.0,0.0,222.0,27.0
112,0.0,0.0,0.0,0.0,9.703842105,0.0,0.0,5.586206897,3.448275862,0.0,0.0,1.0,28.0
113,0.0,0.0,0.0,0.0,9.689394737,0.0,0.0,5.615384615,0.0,0.0,0.0,245.0,27.0
